Date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS
3/9/2021,0.298005182,0.25292798,0.393851988,0.234368694
3/10/2021,0.287147156,0.253423286,0.376527782,0.23183253
3/12/2021,0.293480448,0.247765239,0.365614924,0.223299609
3/15/2021,0.290374173,0.235828447,0.368562675,0.202024114
3/16/2021,0.282152592,0.2381394,0.328370568,0.198034557
3/17/2021,0.288708119,0.230120362,0.286485826,0.197462768
3/18/2021,0.297601678,0.240330811,0.284765461,0.226799148
3/19/2021,0.313327092,0.240932368,0.28502955,0.226496786
3/22/2021,0.315190046,0.25206542,0.286387658,0.231062519
3/23/2021,0.314527611,0.24670391,0.293794569,0.221535509
3/24/2021,0.320745839,0.245255618,0.295182446,0.225629454
3/25/2021,0.330701573,0.247668127,0.292232349,0.229240381
3/26/2021,0.308155255,0.247740517,0.298569463,0.228948431
3/30/2021,0.312054692,0.263193659,0.322706998,0.24825897
3/31/2021,0.31404553,0.259479878,0.334428832,0.251704712
4/1/2021,0.312794115,0.257998425,0.333414217,0.248785355
4/5/2021,0.313158695,0.263298761,0.333594581,0.250957021
4/6/2021,0.312752798,0.263052111,0.329654671,0.250499327
4/7/2021,0.313560136,0.262941547,0.329573405,0.252054297
4/8/2021,0.296492203,0.23639855,0.329491097,0.241829233
4/9/2021,0.297434633,0.236252045,0.328598568,0.241838486
4/12/2021,0.309084032,0.245231358,0.306941442,0.245601693
4/13/2021,0.285259847,0.278887264,0.318324959,0.255142539
4/15/2021,0.277130897,0.275914989,0.301531716,0.263021477
4/16/2021,0.275723786,0.276927913,0.296614285,0.262818905
4/19/2021,0.277862229,0.269283951,0.296383808,0.250533325
4/20/2021,0.238049574,0.265821576,0.29452671,0.237357369
4/22/2021,0.23806864,0.266909613,0.29920448,0.235440089
4/23/2021,0.237671102,0.263632054,0.297405506,0.236584138
4/26/2021,0.244391574,0.263844638,0.297374909,0.233834147
4/27/2021,0.259218962,0.262155809,0.293966522,0.23310951
4/28/2021,0.260123225,0.261770737,0.305578369,0.228418121
4/29/2021,0.258726754,0.261577758,0.305590904,0.22789895
4/30/2021,0.259216698,0.272494726,0.324842726,0.227914746
5/3/2021,0.263332927,0.26900589,0.324102726,0.226661628
5/4/2021,0.263416646,0.269352806,0.326600272,0.231196513
5/5/2021,0.256391229,0.262936351,0.328655947,0.20740608
5/6/2021,0.232225344,0.263014637,0.328111489,0.211269174
5/7/2021,0.231417162,0.252893903,0.325882423,0.204308614
5/10/2021,0.227423821,0.252877907,0.319466362,0.206011016
5/11/2021,0.222414924,0.252985884,0.318619563,0.203517788
5/12/2021,0.210351769,0.249431208,0.317562612,0.199117927
5/14/2021,0.214038263,0.251839204,0.312251674,0.200304318
5/17/2021,0.210596857,0.236543248,0.30849052,0.170932046
5/18/2021,0.211923483,0.236567826,0.297861389,0.169613026
5/19/2021,0.21050195,0.236417687,0.299741655,0.164998546
5/20/2021,0.206890128,0.225786601,0.295014457,0.1553534
5/21/2021,0.208025154,0.225340054,0.321123385,0.1597354
